id,name,category,brand,description,price,rating,quantity,imgSrc,specs
FNDB-001,"Fender Player II Precision Bass Guitar, Maple FB, Black","Bass","Fender","Step into the spotlight and experience iconic Fender® sound and style with the Player II Precision Bass® — a stage-ready bass guitar with contemporary updates to power your performance and inspire your playing. The Player II Precision Bass radiates timeless Fender charm, but under the hood, it's primed for today's players. Everything about the neck is designed for fast and fluid playability, from the Modern ""C""-profile with silky satin urethane finish on the back to the comfy 9.5""-radius slab rosewood or maple fingerboard with smooth rolled edges and 20 medium jumbo frets. Player Series Alnico V Split-Coil P bass® pickups offer sweet highs, musical mids and seismic lows that elevate any genre. An adjustable 4-saddle bridge, single-groove steel saddles and open-gear tuners ensure precise tuning stability for the flexibility to explore endless sonic possibilities. Perfect for crafting your own sound, the Player II Precision Bass has the looks, tone and feel that only a Fender delivers.",4599,4,8,"/products/fender_p2_prec_black.png","Body Shape: Precision Bass®;Body Material: Alder;Body Finish: Gloss Polyester;Neck Profile: Modern ""C"";Fretboard Material: Maple;Fretboard Radius: 9.5"" (241 mm);Scale Length: 34"" (86.36 cm);No. of Frets: 20 Medium Jumbo Frets;Fretboard Inlays: Black Dot Inlays;Pickups: Player Series Alnico 5 Split Single-Coil Precision Bass® (Middle);Bridge: 4-Saddle Standard;Pickguard: 3-Ply Parchment;Strings: Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406;Tuning Machines: Standard Open-Gear;Hardware Finish: Nickel/Chrome"
<<<<<<< HEAD
FNDB-002,"Fender 123 Custom Shop 1966 Precision Bass Journeyman Relic Guitar, Super Faded Aged Lake Placid Blue","Bass","Fender","New for 2024, the Fender Custom Shop introduces the 1966 Precision BassÃÂ® Journeyman RelicÃÂ®. Few instruments are as iconic as a 1960s rosewood fingerboard-equipped P-BassÃÂ®--and this bass stands out from the crowd. Its two-piece select alder body wears a Journeyman RelicÃÂ® lacquer finish in Super Faded Aged Lake Placid Blue, Aged Natural and Three-Color Sunburst, while the quartersawn maple neck features a 1960 Oval Ã¢ÂÂCÃ¢ÂÂ back-shape and round-laminated rosewood fingerboard for perfect mid-'60s looks and feel. The Custom Shop hand-wound '65/'70 P-BassÃÂ® pickup and vintage wiring provide all the thump and warmth you would expect from a 1966 Precision BassÃÂ®.",26499,5,2,"/products/fender_custom_1966_pb_journeyman_relic_aged_lake_placid_blue.png","Body Shape: Precision BassÃÂ®;Body Material: 2-Piece Select Alder;Body Colour: Super Faded Aged Lake Placid Blue;Body Finish: Nitrocellulose Lacquer;Fretboard Material: 3A Rosewood;Fretboard Radius: 7.25" (184.1 mm);Scale Length: 34" (86.36 cm);No. of Frets: 20;Fretboard Inlays: Mother of Pearl Dot - 7 mm;Pickups: Custom Shop Hand-Wound '65/'70 Precision BassÃÂ® (Bridge);Bridge: 4-Saddle Vintage-Style;Pickguard: 3-Ply Parchment;Strings: Nickel Plated Steel (.045-.105 Gauges);Tuning Machines: Vintage-Style;Hardware Finish: Nickel/Chrome;Accessories: Deluxe Hardshell Case, Strap and Certificate of Authenticity"
SQRB-001,"Squier Sonic Precision Bass Guitar with White Pickguard, Maple FB, 2-Color Sunburst","Bass","Squier","The Squier Sonic™ Precision Bass® is ready to launch any musical adventure into warp speed, offering iconic Fender® style and inspiring tone for players at any stage. This P Bass® sports a slim and inviting ""C""-shaped neck profile with a narrow 1.5"" nut width and a thin, lightweight body for optimal playing comfort while a Squier® split single-coil pickup delivers punchy bass tone. Further details of this model include a 4-saddle hardtail bridge for precise intonation adjustment, open-gear tuning machines for smooth, accurate tuning and durable chrome-plated hardware that is sure to catch the spotlight.",1179,3,15,"/products/squier_sonic_pb_maple_fb_2_color_sunburst.png","Body Shape: Precision Bass®; Body Material: Poplar; Body Finish: Gloss Polyurethane; Neck Profile: ""C"" Shape; Fretboard Material: Maple; Fretboard Radius: 9.5"" (241 mm); Scale Length: 34"" (86.36 cm); No. of Frets: 20 Narrow Tall; Fretboard Inlays: Black Dot Inlays; Pickups: Ceramic Split Single-Coil (Neck); Bridge: 4-Saddle Standard; Pickguard: 1-Ply White; Strings: Nickel Plated Steel (.045-.105 Gauges); Tuning Machines: Vintage-Style; Hardware Finish: Chrome"
FNDB-003,"Fender Player II Jazz Bass Guitar, RW FB, Birch Green","Bass","Fender","Step into the spotlight and experience iconic Fender® sound and style with the Player II Jazz Bass® — a stage-ready bass guitar with contemporary updates to power your performance and inspire your playing. The Player II Jazz Bass radiates timeless Fender charm, but under the hood, it's primed for today's players. Everything about the neck is designed for fast and fluid playability, from the Modern “C”-profile with silky satin urethane finish on the back to the comfy 9.5”-radius slab rosewood or maple fingerboard with smooth rolled edges and 20 medium jumbo frets. Player Series Alnico V Single-Coil J bass® pickups offer sweet highs, growling mids and seismic lows that elevate any genre. An adjustable 4-saddle bridge, single-groove steel saddles and open-gear tuners ensure precise tuning stability for the flexibility to explore endless sonic possibilities.",4599,5,10,"/products/fender_p2_jazz_rw_fb_birch_green.png","Body Shape: Jazz Bass®;Body Material: Alder;Body Finish: Gloss Polyester;Neck Profile: Modern ""C"";Fretboard Material: Slab Rosewood;Fretboard Radius: 9.5"" (241 mm);Scale Length: 34"" (86.36 cm);No. of Frets: 20 Medium Jumbo Frets;Fretboard Inlays: White Dot Inlays;Pickups: Player Series Alnico 5 Single-Coil Jazz Bass® (Bridge), Player Series Alnico 5 Single-Coil Jazz Bass® (Middle);Bridge: 4-Saddle Standard;Pickguard: 3-Ply Parchment;Strings: Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges),PN 0737250406;Tuning Machines: Standard Open-Gear;Hardware Finish: Nickel/Chrome"
FNDB-004,"Fender American Professional II Jazz Bass Electric Guitar, RW FB, Olympic White","Bass","Fender","The American Professional II Jazz Bass® draws from more than sixty years of innovation, inspiration and evolution to meet the demands of today's working player. Our popular Slim ""C"" neck now sports smooth rolled fingerboard edges, a ""Super-Natural"" satin finish and a newly sculpted neck heel for a supremely comfortable feel and easy access to the upper register. New V-Mod II Jazz Bass single-coil pickups are more articulate than ever while delivering the punch and clarity the Jazz Bass is known for.",9059,5,3,"/products/fender_am_p2_jazz_rw_fb_olympic_white.png","Body Shape: Jazz Bass®;Body Material: Alder;Body Colour: Olympic White;Body Finish: Gloss Urethane;Fretboard Material: Rosewood;Fretboard Radius: 9.5"" (241 mm);Scale Length: 34"" (864 mm);No. of Frets: 20;Fretboard Inlays: White Dot;Pickup(s): V-Mod II Single-Coil Jazz Bass® (Bridge & Middle);Bridge: 4-Saddle HiMass™ Vintage (String-Through-Body or Top-Load);Pickguard: 4-Ply Tortoiseshell;Strings: Fender® USA 7250M Nickel Plated Steel (.045-.105 Gauges), PN 0737250406;Tuning Machines: Fender® Lightweight Vintage-Style Keys with Tapered Shafts;Hardware Finish: Nickel/Chrome;Case: Deluxe Molded Case (Included)"
SQRB-002,"Squier Contemporary Active Precision Bass PH Bass Guitar, Pearl White","Bass","Squier","The Squier® Contemporary Active Precision Bass® PH brings modern features and bold aesthetics to an iconic Fender platform to satisfy today’s most discerning and daring players. At the heart of this bass are Squier SQR™ ceramic split single-coil and humbucking bridge pickups powered by a Fender-designed active 9-volt preamp, offering intuitive controls for volume, pickup blend, traditional tone and stacked boost controls for bass and treble. The roasted maple neck was chosen for its optimal tone and stability, and a sculpted heel design allows for improved access to the upper frets. High-performance components round out the feature list and include a modern bridge with added mass for improved body resonance and a set of open-gear tuning machines for smooth tuning action. Eye-catching styling cues include stealthy black hardware and a sleek painted headstock with chrome logos for a premium look.",2379,5,3,"/products/squier_cont_ap_pearl_white.png","Body Shape: Precision Bass®;Body Material: Poplar;Body Finish: Gloss Polyurethane;Neck Profile: ""C"" Shape;Fretboard Material: Indian Laurel;Fretboard Radius: 12"" (305 mm);Scale Length: 34"" (864 mm);No. of Frets: 20 Narrow Tall;Fretboard Inlays: Pearloid Dot;Pickups: Squier® SQR™ Ceramic Humbucker (Bridge), Squier® SQR™ Ceramic Humbucker (Neck);Bridge: 4-Saddle Standard;Pickguard: 3-Ply Black;Strings: Nickel Plated Steel (.045-.105 Gauges);Tuning Machines: Vintage-Style;Hardware Finish: Black"
=======
FNDB-002,"Fender Custom Shop 1966 Precision Bass Journeyman Relic Guitar, Super Faded Aged Lake Placid Blue","Bass","Fender","New for 2024, the Fender Custom Shop introduces the 1966 Precision Bass® Journeyman Relic®. Few instruments are as iconic as a 1960s rosewood fingerboard-equipped P-Bass®--and this bass stands out from the crowd. Its two-piece select alder body wears a Journeyman Relic® lacquer finish in Super Faded Aged Lake Placid Blue, Aged Natural and Three-Color Sunburst, while the quartersawn maple neck features a 1960 Oval “C” back-shape and round-laminated rosewood fingerboard for perfect mid-'60s looks and feel. The Custom Shop hand-wound '65/'70 P-Bass® pickup and vintage wiring provide all the thump and warmth you would expect from a 1966 Precision Bass®.",26499,5,2,"/products/fender_custom_1966_pb_journeyman_relic_aged_lake_placid_blue.png","Body Shape: Precision Bass®;Body Material: 2-Piece Select Alder;Body Colour: Super Faded Aged Lake Placid Blue;Body Finish: Nitrocellulose Lacquer;Fretboard Material: 3A Rosewood;Fretboard Radius: 7.25"" (184.1 mm);Scale Length: 34"" (86.36 cm);No. of Frets: 20;Fretboard Inlays: Mother of Pearl Dot - 7 mm;Pickups: Custom Shop Hand-Wound '65/'70 Precision Bass® (Bridge);Bridge: 4-Saddle Vintage-Style;Pickguard: 3-Ply Parchment;Strings: Nickel Plated Steel (.045-.105 Gauges);Tuning Machines: Vintage-Style;Hardware Finish: Nickel/Chrome;Accessories: Deluxe Hardshell Case, Strap and Certificate of Authenticity"
SQRB-001,"Squier Sonic Precision Bass Guitar with White Pickguard, Maple FB, 2-Color Sunburst","Bass","Squier","The Squier Sonic™ Precision Bass® is ready to launch any musical adventure into warp speed, offering iconic Fender® style and inspiring tone for players at any stage. This P Bass® sports a slim and inviting ""C""-shaped neck profile with a narrow 1.5"" nut width and a thin, lightweight body for optimal playing comfort while a Squier® split single-coil pickup delivers punchy bass tone. Further details of this model include a 4-saddle hardtail bridge for precise intonation adjustment, open-gear tuning machines for smooth, accurate tuning and durable chrome-plated hardware that is sure to catch the spotlight.",1179,3,15,"/products/squier_sonic_pb_maple_fb_2_color_sunburst.png","Body Shape: Precision Bass®; Body Material: Poplar; Body Finish: Gloss Polyurethane; Neck Profile: ""C"" Shape; Fretboard Material: Maple; Fretboard Radius: 9.5"" (241 mm); Scale Length: 34"" (86.36 cm); No. of Frets: 20 Narrow Tall; Fretboard Inlays: Black Dot Inlays; Pickups: Ceramic Split Single-Coil (Neck); Bridge: 4-Saddle Standard; Pickguard: 1-Ply White; Strings: Nickel Plated Steel (.045-.105 Gauges); Tuning Machines: Vintage-Style; Hardware Finish: Chrome"
