id,name,category,brand,description,price,rating,quantity,imgSrc,specs
FNDA-001,"Fender Santa Ana Overdrive Guitar Effects Pedal","Accessory","Fender","Fender helped generate the classic guitar tones that inspired players to create new music, and now with the Santa Ana Overdrive, we've brought our expertise to stompboxes. Armed with FET technology, this pedal lets you dial in sounds varying from ""just a little hairy"" all the way to thick, fully saturated overdrive. The flexible tone controls unlock a wide range of sonic flavors. This pedal cleans up with the guitar's volume control, just like our famous amplifiers.",923,5,10,"/products/fender_santa_ana_overdrive_pedal.png","Type: Effect Pedal"
FNDA-002,"Fender The Pelt Fuzz Guitar Effects Pedal","Accessory","Fender","A good fuzz pedal is indispensable—this gloriously splatty, satisfying sound has been the cornerstone of rock tone for decades. An all-original design, The Pelt Fuzz has a few tricks hidden up its sleeve. All the familiar controls are there: Level, Fuzz and Tone, along with a Bloom control to shape the contours of your sound. Our secret-weapon Mid switch lets you boost or cut the midrange for even more voicing options, while the Thick switch adds some girth to your sound.",494,5,20,"/products/fender_the_pelt_fuzz_pedal.png","Type: Effect Pedal"
ROLA-001,"Roland GK-3 Guitar Pickup","Accessory","Roland","The newly redesigned Roland GK-3 Guitar Pickup turns your guitar into a synthesizer by sending individual signals from each guitar string to GK-compatible devices. You can switch between synth, normal guitar tone, and mixed settings. All attachment accessories including double-sided tapes, a holder to secure the controller to your guitar's body, and a special pickup attachment plate for Les Paul style guitars are included. It also comes with a length adjustable pickup cable and a 1/4"" phone jack for normal guitar use. The new design allows theGK-3 adjust to the varying contours of different guitar models including pronounced archtops.",580,5,3,"/products/roland_gk_3_guitar_pickup.png","Type: Guitar Pickup"
FOCA-001,"Focusrite Scarlett 2i2 (4th Generation)","Accessory","Focusrite","Scarlett 2i2 makes it easy to get better recordings every time. Two of Focusrite's most detailed ultra-low-noise mic pres. Studio-grade converters, with a huge 120dB dynamic range that matches what you'd find in a pro studio. Auto Gain, Clip Safe and a powerful 69dB of analogue gain make setting levels quick and easy so every take is a keeper. A complete recording toolkit includes Pro Tools Artist, Ableton Live Lite, and our Hitmaker Expansion software bundle; featuring Auto-Tune Access for Vocals, Softube Marshall Silver Jubilee 2555 for guitar, Native Instruments MASSIVE synth and more. Air mode lets you record with all the character of a big studio console. Get great sound through any headphones from 2i2's amped-up headphone output with independent volume control.",1019,5,12,"/products/focusrite_2i2_4th_gen.webp","Number of Microphone Preamps: 2; Phantom Power: Yes; Instrument Inputs: 2; Line Inputs: 2; Air Mode: Yes; Auto Gain: Yes; Clip Safe: Yes; Line Outputs: 2; Headphone Outputs: 1; Loopback: Yes; Connectivity: USB Type-C; Protocol: USB 2.0; Form Factor: Desktop; Simultaneous I/O: 4 x 2 (including Loopback inputs); A/D Resolution: 24-bit/192 kHz; Bus Powered: Yes 900mA; Software Compatibility: Scarlett 2i2 is class compliant so will work with Mac, Windows PC, Chromebook, USB-C iPad, and iPhone; Power Requirements: USB-3.0 Bus power 5V @900mA 4.5W, External power supply - 5V @ 1000mA (USB power supply not included); Includes: Scarlett 2i2 4th Gen, USB A-C Cable; Dimensions: 180 mm (W) x 99 mm (D) x 45.5 mm (H); Weight: 0.598 kg / 1.32 lbs"
FOCA-002,"Focusrite Scarlett Solo Studio Pack (3rd Generation)","Accessory","Focusrite","Featuring the smallest USB audio interface Focusrite makes, mic, headphones and all the cables you need to get started, Scarlett Solo Studio is ready to record every song you'll ever write. The CM25 MkIII mic captures every detail and the HP60 MkIII headphones mean clear and comfortable mixing and monitoring. A 3rd Gen mic preamp, high-headroom instrument input and now-iconic Gain Halos mean the science of sounding great is sorted.",1169,4,10,"/products/focusrite_solo_3rd.png","Type: Audio Interface"
FOCA-003,"Focusrite Scarlett 18i20 (4th Generation)","Accessory","Focusrite","Scarlett 18i20 is the ultimate studio hub for demanding project studios. Fully equipped with 18 inputs and 20 outputs, including eight of Focusrite's most detailed ultra-low-noise mic preamps, line, Hi-Z, and MIDI connections for your drums, vocals, guitars, keys, and synths. Focusrite Control 2 provides flexible routing and mixing options, allowing you to customise 18i20's independent outputs to suit the needs of any recording session. Expand and sync your setup with ADAT, S/PDIF, and Word Clock connections. Air mode, with Presence and Harmonic Drive, brings the sound of big studio consoles to your recordings, while Auto Gain and Clip ensure you never worry about levels. Low-latency monitoring, A/B speaker switching, and a built-in talkback mic are perfect for serious project studios. The Hitmaker Expansion software bundle has all the tools you need to record, produce, and release your tracks. And the Focusrite Control 2 desktop and mobile apps enable you to remotely control your Scarlett anywhere in the studio.",3199,5,3,"/products/focusrite_scarlett_18i20_4th_gen.webp","Number of Mic Preamps: 8; Phantom Power: Yes (Independent); Inst Input: 2; Line Inputs: 8; Air Mode: Yes; Auto Gain: Yes; Clip Safe: Yes; Line Outputs: 10; Headphone Outputs: 2; ADAT I/O: 1; SPDIF I/O: 1; MIDI I/O: 1; Talkback: Yes; Loopback: Yes; Connectivity: USB Type-C; Protocol: USB 2.0; Form Factor: Desktop / Rack Mountable (1U); Simultaneous I/O: 20 x 24 (including Loopback); A/D Resolution: 24-bit/192 kHz; Supported Sample Rate: 44.1kHz, 48kHz, 88.2kHz, 96kHz, 176.4kHz, 192kHz; Power: 15W External; System Requirements: Compliant with Mac, Windows PC, Chromebook, USB-C iPad, and iPhone; Includes: Scarlett 18i20 audio interface, 1.5m USB-C to USB-C cable, USB-C to USB-A adaptor, IEC power cable; Dimensions: 259.73mm (W) x 443mm (D) x 46.65mm (H); Weight: 3.304 kg"
FOCA-004,"Testing Octopre Mark 2 Dynamic 8-channel Microphone Preamplifier with Compression","Accessory","Focusrite","With eight channels of Focusrite microphone preamplification, eight VCA-based Red 3-derived compressors and built-in 24-bit / 96kHz digital inputs and outputs, OctoPre MkII Dynamic is Focusrite's feature-rich expansion upgrade for any digital audio workstation. It's equally an ideal expansion for any analogue or digital console, or hard disk recorder. Digital inputs and outputs let you make the most of often-neglected ADAT I/O; ideal for expanding the number of mic pre inputs on your interface or for providing analogue monitoring from any digital ADAT feed.",2220,5,0,"/products/focusrite_octopre_mark_2_dynamic_8_channel_microphone_preamp.webp","Analogue Channel Inputs: 2x Mic/Line/Instrument inputs on the rear panel (Inputs 1 and 2), 6x Mic/Line inputs on the rear panel; Analogue Channel Outputs: 8x Balanced 1/4"" TRS Jack on the rear panel; Digital I/O: 2x ADAT Lightpipe (TOSLINK) inputs, 2x ADAT Lightpipe (TOSLINK) outputs, Word-Clock in and out on rear panel BNC connectors; Dimensions: 484mm (W) x 265mm (D) x 45mm (H) unboxed; Weight: 3.6 kg / 7.3 lbs"
FNDA-004,"Guitar 123","Accessories","Focusrite","123",3000,5,34,"-","-"
T005,"test","Accessories","Fender","123",455,4,23,"-","-"
T010,"1han","Accessories","Fender","we",54,5,43,"-","-"
